key_id,player_id,family_name,given_name,birth_date,female,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments,player_wikipedia_link,position
1,P-35894,A'Court,Alan,1934-09-30,0,0,0,0,1,1,1958,https://en.wikipedia.org/wiki/Alan_A%27Court,forward
2,P-29915,Aar?nes,Ann Kristin,1973-01-19,1,0,0,1,1,2,"1995, 1999",https://en.wikipedia.org/wiki/Ann_Kristin_Aar%C3%B8nes,midfielder
3,P-03484,Aaronson,Brenden,2000-10-22,0,0,0,0,1,1,2022,https://en.wikipedia.org/wiki/Brenden_Aaronson,forward
4,P-04189,Abadzhiev,Stefan,1934-07-03,0,0,0,0,1,1,1966,https://en.wikipedia.org/wiki/Stefan_Abadzhiev,forward
5,P-03523,Abalo,Jean-Paul,1975-06-26,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Jean-Paul_Abalo,defender
6,P-84073,Abam,Michaela,1997-06-13,1,0,0,1,0,1,2019,https://en.wikipedia.org/wiki/Michaela_Abam,midfielder
7,P-35138,Abanda,Patrice,1978-08-03,0,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Patrice_Abanda,defender
8,P-05170,Abass,Hamdya,1982-08-01,1,0,1,0,0,1,2007,https://en.wikipedia.org/wiki/Hamdya_Abass,defender
9,P-75462,Abate,Ignazio,1986-11-12,0,0,1,0,0,1,2014,https://en.wikipedia.org/wiki/Ignazio_Abate,defender
10,P-78277,Abbadie,Julio,1930-09-07,0,0,0,0,1,1,1954,https://en.wikipedia.org/wiki/Julio_Abbadie,forward
11,P-07698,Abb?,Caroline,1988-01-13,1,0,1,0,0,1,2015,https://en.wikipedia.org/wiki/Caroline_Abb%C3%A9,defender
12,P-02042,Abbes,Claude,1927-05-24,0,1,0,0,0,2,"1954, 1958",https://en.wikipedia.org/wiki/Claude_Abbes,goal_keeper
13,P-81393,Abbiati,Christian,1977-07-08,0,1,0,0,0,1,2002,https://en.wikipedia.org/wiki/Christian_Abbiati,goal_keeper
14,P-86290,Abbondanzieri,Roberto,1972-08-19,0,1,0,0,0,1,2006,https://en.wikipedia.org/wiki/Roberto_Abbondanzieri,goal_keeper
